,user
687,122106
688,36247
691,327100
693,306062
694,202116
695,48187
696,321604
703,157161
704,111953
705,239285
709,140903
710,102543
711,96745
715,22094
717,193285
720,70163
721,138684
723,230292
725,285149
727,39857
733,13408
736,118330
739,176039
751,24922
755,194703
756,171767
759,232820
760,103269
761,308483
762,49318
764,168219
769,336510
770,210894
771,37941
774,190611
777,272204
778,270263
779,119555
780,209234
782,58495
787,211178
789,264871
791,9272
792,311506
793,16457
795,202127
796,147191
802,109306
805,302386
809,121958
810,194153
811,252227
812,72593
813,181910
814,260074
815,305829
820,291209
822,45903
823,249027
828,253439
829,83038
831,76373
834,319326
835,244755
836,96279
837,53476
842,21940
846,330714
848,111291
853,260859
854,191356
855,31489
856,92960
857,243690
858,346832
859,63074
860,257665
861,298418
863,171160
864,302801
865,281449
869,225807
872,128731
876,122892
878,228227
880,92571
885,117343
887,330880
889,152630
890,259084
891,197592
892,137921
896,20625
897,332070
899,301157
900,318467
901,183737
903,328982
905,222675
907,357012
908,275283
910,203476
912,199755
916,234454
918,273498
919,33116
920,169299
923,198859
924,360157
925,137629
927,66774
928,299032
929,230040
931,171003
932,80758
934,44623
936,208710
937,340379
938,136450
940,52769
944,54545
945,331311
946,308313
948,126607
950,79511
951,185963
952,324964
956,244554
957,195548
965,338739
966,173618
967,263139
968,41660
973,198472
974,52812
975,45249
977,71325
979,25246
980,106304
981,289321
982,308643
983,40730
988,88710
989,118260
990,366494
991,125080
992,97405
993,116866
995,268203
996,233914
998,236502
1000,243196
1002,222197
1004,355577
1005,67201
1006,265155
1012,45125
1014,287592
1015,19440
1016,310673
1017,43960
1022,236249
1025,291640
1026,164989
1028,242799
1029,187882
1036,1821
1037,761
1039,169914
1040,98265
1041,80871
1048,48682
1049,158641
1051,241686
1052,68259
1056,24986
1058,1536
1059,153414
1061,357356
1064,334765
1065,306680
1066,350686
1067,11870
1068,226917
1069,105663
1070,107176
1071,289219
1072,198430
1073,232423
1074,14880
1075,27351
1076,88958
1081,1272
1082,369394
1083,69091
1088,93037
1089,343688
1090,250238
1091,96004
1092,248678
1094,144779
1095,303224
1097,95877
1098,189232
1099,155770
1102,100827
1104,225574
1105,151101
1106,163067
1109,101613
1110,164465
1111,294500
1112,11565
1114,168496
1115,112588
1116,206579
1118,342967
1119,330346
1120,1791
1122,297659
1123,34517
1124,368100
1129,256666
1130,215588
1131,289159
1132,11496
1133,297061
1135,151608
1139,237939
1140,238
1143,312789
1145,354466
1146,107959
1149,7717
1152,225841
1153,200311
1156,221776
1158,290514
1159,103895
1164,103194
1165,297603
1166,162842
1168,245955
1169,211143
1170,194224
1174,235524
1175,305559
1178,218196
1180,185558
1181,143110
1183,14907
1186,167060
1188,120717
1190,54040
1196,19585
1197,229132
1199,310116
1200,276584
1203,187088
1205,31085
1206,7226
1208,1184
1209,188130
1211,31218
1212,324468
1214,77620
1216,87017
1222,60810
1223,315422
1225,191874
1228,372072
1229,58960
1230,347309
1232,6036
1234,317966
1235,321863
1237,283984
1241,22449
1244,208107
1246,34044
1249,21099
1250,252657
1253,371481
1254,156431
1256,166444
1257,10911
1258,174183
1261,265154
1263,321201
1265,338832
1266,349002
1267,17361
1268,308070
1269,89093
1271,120276
1272,336651
1277,192382
1278,295288
1280,23457
1281,318430
1282,247491
1283,273208
1288,35441
1289,225039
1291,14084
1293,256658
1294,89231
1297,285454
1298,22739
1300,82501
1301,197242
1305,367700
1306,326515
1307,372050
1308,233619
1314,174269
1315,193740
1319,55599
1321,278266
1322,89600
1323,3975
1324,270555
1325,103731
1328,163232
1332,5174
1335,174044
1336,77166
1340,194152
1341,348570
1343,41622
1344,336939
1345,68717
1346,365675
1347,280770
1348,219375
1350,56232
1351,306481
1352,191397
1360,79978
1361,212483
1363,259257
1364,219434
1365,72988
1366,234441
1367,155516
1369,32977
1370,164529
1376,217080
1380,175156
1381,215885
1382,159556
1387,157515
1395,87052
1396,89971
1397,195361
1398,230829
1399,30069
1400,316188
1401,322958
1402,73204
1404,275697
1406,43406
1411,51401
1412,316809
1413,75509
1414,181112
1415,364094
1416,196773
1417,262732
1419,138532
1420,231702
1422,36714
1423,242405
1424,137305
1425,66648
1426,52779
1428,41281
1430,293783
1431,294790
1432,317957
1434,86293
1435,286703
1437,46067
1440,286530
1442,177419
1444,207903
1445,322413
1446,89754
1448,309513
1449,318720
1450,170835
1455,281389
1456,1381
1460,164678
1461,325794
1469,252297
1471,31163
1472,234970
1473,28780
1475,83356
1476,172604
1477,30822
1479,258145
1480,192396
1482,122915
1483,582
1488,306509
1493,274220
1495,67542
1496,303135
1498,243338
1499,104163
1500,15051
1501,284226
1502,118272
1507,342886
1508,167130
1510,274199
1511,123492
1513,331045
1514,185778
1516,252939
1521,324034
1522,48426
1526,108853
1528,90132
1529,136588
1530,146550
1531,139105
1532,220193
1534,220322
1536,135453
1538,330523
1540,61989
1543,218616
1545,97769
1551,146120
1554,342983
1555,185005
1557,360661
1560,133859
1561,176547
1563,214618
1564,157735
1566,167819
1567,220709
1568,144625
1570,138486
1571,266458
1572,299083
1575,73866
1576,198416
1577,313040
1578,174419
1582,67750
1585,199873
1586,93839
1588,139527
1589,229527
1591,357921
1592,131606
1595,240814
1599,221004
1602,359803
1604,223294
1606,316226
1609,300916
1612,20386
1613,45591
1615,248546
1616,280604
1617,160857
1620,138836
1622,31252
1626,35356
1627,152850
1628,367145
1630,315287
1631,326779
1635,371441
1637,273714
1640,52223
1642,93494
1646,142563
1649,103772
1651,21497
1655,335168
1657,334323
1658,48222
1662,204191
1664,319068
1665,228266
1666,90370
1667,350613
1668,247046
1669,146510
1670,366373
1671,318877
1672,92693
1674,147941
1675,326681
1677,88600
1680,54583
1681,153541
1682,108823
1683,95529
1684,249425
1689,276903
1690,5982
1692,280312
1700,28398
1701,130877
1702,311853
1704,61934
1705,76924
1706,372439
1710,297492
1713,353722
1714,4531
1715,123947
1717,81036
1718,182410
1720,312177
1721,15497
1722,232996
1723,356466
1724,161022
1725,194711
1727,92121
1728,95139
1729,346386
1730,333997
1733,294037
1735,157152
1739,259830
1740,232227
1741,171611
1742,352701
1743,31608
1745,270500
1747,315125
1749,2786
1750,291648
1751,256813
1752,297121
1755,98249
1756,261812
1758,85900
1763,116046
1765,53868
1767,32969
1768,80506
1770,318369
1772,260983
1773,278381
1774,75003
1775,159151
1776,153360
1777,35934
1779,31936
1780,55207
1783,276217
1785,278750
1787,296972
1790,127860
1791,167608
1792,244102
1794,196527
1796,316063
1797,148107
1798,111962
1800,50936
1801,237008
1803,160855
1806,322809
1808,60686
1811,243281
1815,217647
1820,193895
1824,344501
1826,366889
1827,192301
1832,105478
1833,353137
1835,351079
1836,190770
1837,2789
1838,192602
1839,289512
1842,238376
1844,199006
1852,276184
1853,217029
1854,142777
1855,140537
1859,359285
1862,83024
1863,12325
1864,230179
1868,343574
1871,317503
1875,342779
1878,610
1879,274950
1880,341278
1881,185912
1882,314608
1884,71509
1885,334405
1886,1763
1887,155779
1889,99295
1890,229405
1892,220972
1893,31192
1895,313709
1897,49929
1898,195444
1899,300692
1902,314332
1903,175259
1904,333655
1905,290205
1906,227021
1907,142697
1911,127146
1912,268283
1913,261446
1915,200571
1916,175569
1917,370729
1918,57035
1919,14591
1920,213025
1921,88369
1922,242625
1924,120134
1927,42035
1932,142029
1933,91965
1936,195105
1938,293924
1939,205469
1940,129957
1945,37940
1946,354050
1948,175901
1949,282708
1951,122997
1954,221321
1955,188926
1956,219700
1957,361875
1958,14456
1959,153182
1960,76615
1961,75522
1967,169211
1968,268041
1969,326510
1970,82480
1972,16549
1973,228989
1974,62201
1975,48830
1976,259275
1979,253011
1980,177081
1982,309240
1985,190487
1986,199638
1988,228763
1990,267374
1993,32648
1996,150666
1998,260848
1999,176873
2000,137442
2001,227488
2002,261379
2003,20191
2005,306063
2007,326780
2008,218047
2009,151167
2015,15795
2016,296308
2017,14047
2018,137932
2021,282292
2022,223174
2025,367018
2029,110239
2030,88276
2031,190012
2032,296465
2033,283922
2034,133389
2035,181591
2037,89934
2040,130413
2045,61127
2050,47750
2051,108392
2055,128191
2056,105842
2058,344721
2060,216687
2061,230076
2063,101192
2069,132297
2073,195236
2076,288827
2078,78240
2080,184681
2084,307940
2085,136333
2086,278489
2087,255195
2089,180365
2090,310477
2092,308370
2093,158914
2098,257493
2103,256383
2105,306815
2106,210409
2109,319425
2110,133378
2112,2019
2113,270926
2118,25609
2119,130094
2120,194660
2121,145638
2122,361059
2123,137859
2124,335299
2125,255943
2126,357576
2127,231080
2128,282832
2130,125226
2132,38408
2133,72470
2134,266736
2135,22163
2137,210650
2139,179907
2142,180637
2143,5984
2145,234828
2147,106325
2148,85746
2150,194749
2153,312657
2154,256273
2158,123004
2162,222183
2163,60150
2164,336488
2166,190931
2169,159666
2171,57192
2172,282998
2175,281569
2176,58356
2179,170609
2180,168541
2181,218660
2183,118277
2185,255836
2186,198665
2187,22866
2189,122532
2191,63423
2192,197346
2194,336590
2195,14463
2197,179469
2198,290353
2202,300440
2203,3775
2204,177826
2205,159687
2206,132152
2209,321795
2211,269128
2212,245103
2213,268674
2215,229810
2216,315089
2217,170602
2219,306513
2220,206934
2222,326212
2228,14436
2229,152069
2230,305063
2233,356251
2237,19311
2238,16718
2239,273851
2242,351282
2245,282261
2250,67282
2251,173361
2259,279838
2260,333210
2262,367301
2263,137399
2265,275550
2268,81021
2269,292799
2275,230890
2284,224528
2285,76450
2286,340869
2288,294299
2289,132334
2291,30470
2292,358489
2293,212585
2294,3045
2298,369180
2300,117128
2303,238968
2308,240641
2309,151783
2310,65505
2311,133230
2313,61583
2315,78915
2316,78304
2317,292021
2319,320767
2320,294675
2321,104787
2322,328627
2325,46841
2326,10158
2327,358493
2328,244257
2329,18931
2333,134059
2336,257046
2337,246689
2341,234636
2342,276264
2344,249595
2346,102082
2348,177990
2351,265643
2354,69071
2356,370944
2357,295129
2358,313880
2360,332427
2361,252709
2363,303070
2364,99262
2365,366649
2366,222344
2368,304352
2370,315451
2371,260306
2373,239828
2376,257863
2377,188361
2378,174734
2379,370859
2380,338332
2381,337595
2382,136991
2386,5444
2390,320945
2391,319304
2393,182902
2394,251364
2395,78395
2396,335029
2399,251988
2403,286570
2404,313476
2405,368774
2407,136293
2408,175621
2409,213209
2411,3052
2413,34172
2414,138596
2415,130510
2419,329542
2420,342855
2421,132408
2423,222216
2424,363306
2425,96392
2426,301928
2427,1897
2432,210490
2433,83453
2436,17074
2438,228550
2442,230096
2444,241323
2445,172383
2446,292547
2447,225931
2448,18205
2450,348625
2451,277217
2452,177087
2453,193357
2457,282546
2459,33096
2460,176219
2463,90696
2465,167645
2469,287706
2471,286293
2473,372015
2474,91168
2476,208158
2477,28801
2481,172185
2485,131537
2486,112869
2487,91928
2488,11691
2491,29084
2492,293508
2495,227007
2496,128413
2502,350971
2503,169678
2504,185279
2506,77316
2508,24428
2510,124480
2512,235431
2513,236670
2514,109905
2515,187462
2517,12486
2521,8686
2524,352315
2525,117893
2527,276543
2528,214315
2529,244124
2534,150687
2535,285669
2536,313223
2537,122269
2538,244601
2540,209355
2541,305022
2543,138444
2544,62429
2545,25742
2546,63919
2547,116523
2553,107744
2554,242588
2558,155590
2562,370656
2566,133224
2567,183279
2569,267649
2570,168917
2571,144987
2572,52543
2573,257824
2575,239093
2577,247073
2580,106500
2581,110124
2582,82088
2583,144347
2584,112057
2585,235039
2589,320687
2590,277617
2592,300535
2595,262682
2598,184619
2599,185895
2600,57451
2602,213771
2603,132066
2609,154790
2610,173050
2611,207029
2613,278200
2615,299668
2618,348136
2619,310982
2621,298458
2622,5417
2623,146487
2626,89431
2629,83943
2630,149706
2632,343884
2637,4344
2638,185184
2639,349042
2640,103913
2642,266096
2643,247143
2645,168800
2646,111381
2647,264779
2648,353552
2650,166477
2651,211539
2655,223151
2656,360449
2657,90555
2658,124675
2660,180654
2661,57091
2662,144847
2665,292342
2666,208898
2667,31101
2668,295888
2671,235057
2673,286457
2674,182319
2677,148862
2678,123427
2679,343907
2682,360025
2684,93523
2686,368876
2687,109338
2688,189995
2690,260268
2692,21702
2693,122347
2695,252656
2697,140195
2698,10754
2699,153445
2700,10442
2702,294457
2703,359226
2704,70160
2706,64833
2707,102964
2708,367392
2710,65792
2711,261457
2716,184391
2720,298582
2721,154008
2722,186793
2724,107239
2725,27099
2726,113199
2728,148855
2730,186648
2732,49505
2737,215226
2739,101709
2741,182288
2742,256453
2745,27782
2747,21226
2748,366797
2749,109519
2750,138146
2751,307255
2756,189003
2758,36863
2761,6888
2765,291893
2768,172201
2770,336722
2772,307491
2773,324169
2776,13893
2777,18895
2779,126243
2780,44384
2783,76574
2787,297372
2788,256777
2789,38116
2790,172152
2791,337756
2793,318030
2794,46909
2795,322193
2796,196386
2798,41071
2800,219418
2801,5008
2802,262814
2804,125976
2807,283250
2808,53419
2809,79199
2810,169302
2811,84317
2812,272043
2816,210745
2823,364648
2825,230167
2828,269085
2829,139388
2831,203171
2832,160860
2837,157284
2839,180933
2840,259579
2841,91901
2845,331817
2849,197729
2850,344437
2851,244700
2852,313764
2853,12600
2854,266452
2855,338038
2858,153082
2860,149196
2861,314091
2862,116136
2865,295551
2866,259494
2868,56115
2869,225464
2870,314966
2871,221230
2872,177342
2873,267259
2874,195551
2875,326684
2877,92104
2878,272995
2879,292051
2881,246549
2883,129912
2885,124433
2887,295308
2889,349280
2890,133680
2891,130934
2892,30748
2893,335905
2894,264643
2895,351329
2896,369079
2898,349030
2899,36287
2903,130066
2904,42838
2907,63790
2910,372712
2911,139690
2912,298343
2913,101741
2915,283911
2919,323291
2926,268646
2928,227536
2929,217277
2931,116846
2935,367425
2936,100142
2939,15147
2940,188843
2943,24706
2944,97602
2949,47159
2950,38928
2951,118007
2952,306714
2953,100054
2958,322980
2960,97028
2961,70532
2962,294160
2963,351520
2966,248532
2967,274967
2968,23567
2970,223281
2971,114868
2973,145628
2975,196820
2976,232937
2978,263624
2979,183740
2981,295874
2986,1515
2987,281803
2988,193982
2989,161395
2990,105503
2993,184583
2994,26479
3001,43486
3006,367107
3007,354430
3008,74466
3010,267103
3011,315658
3013,94048
3017,263652
3018,200113
3019,222110
3020,240234
3023,123716
3024,205262
3025,313997
3027,154974
3033,169428
3034,181970
3038,218921
3039,56176
3041,252558
3049,114292
3051,47827
3052,48568
3053,344689
3056,148708
3057,28769
3058,311081
3059,89907
3060,72102
3061,161783
3067,355073
3071,294913
3074,248441
3075,324737
3077,267931
3078,51332
3080,276603
3081,367212
3082,24410
3084,233263
3085,204849
3086,188418
3088,338312
3089,168756
3090,315973
3091,267184
3093,126731
3098,190732
3101,9857
3102,210771
3103,249513
3106,9942
3107,340936
3108,228408
3109,303416
3111,19904
3117,274578
3118,141402
3119,113460
3120,61921
3123,19345
3128,223822
3129,7017
3131,3892
3133,96480
3135,16216
3137,366198
3138,35132
3141,157109
3145,167751
3148,356066
3150,126159
3153,358462
3157,123486
3158,43571
3159,342160
3161,181690
3162,275552
3163,195048
3166,170754
3167,355371
3170,291318
3173,256638
3175,142022
3180,315330
3181,136023
3182,61412
3183,192741
3186,289295
3188,265091
3189,202163
3191,119881
3192,198162
3195,10625
3196,42249
3197,44618
3198,316044
3199,87810
3200,201891
3202,358085
3203,162051
3205,224023
3206,54756
3207,146137
3208,291725
3209,94262
3210,192759
3211,175032
3214,162792
3218,73303
3220,95674
3221,235326
3224,141186
3225,333729
3227,329365
3228,146622
3229,33719
3234,308435
3236,189481
3238,42520
3243,179800
3245,332533
3246,21653
3248,59967
3249,176237
3252,27122
3253,354167
3254,110047
3255,246461
3259,367809
3262,28308
3263,107096
3264,175513
3266,66874
3268,269610
3269,239401
3271,366514
3277,51852
3278,40179
3280,172908
3281,106109
3282,177314
3283,362075
3287,237909
3288,278179
3290,92918
3294,229384
3295,210101
3296,117930
3297,32359
3302,254600
3303,84468
3304,281869
3306,313901
3307,337777
3308,195454
3309,194218
3313,234425
3315,103405
3318,116336
3319,128875
3320,265535
3321,339567
3322,287414
3323,104707
3325,186542
3326,40231
3328,106417
3333,106986
3334,89695
3335,200400
3337,291646
3338,234275
3339,217052
3341,253389
3343,356102
3344,160895
3345,64569
3346,255627
3347,361505
3348,206903
3349,252784
3351,195889
3352,141054
3356,174767
3357,161035
3358,194124
3360,242021
3361,53675
3362,327763
3365,336266
3366,56261
3367,75968
3370,283797
3371,77101
3372,111035
3373,296991
3375,210707
3377,176278
3378,346870
3379,279983
3380,242265
3385,125453
3388,307477
3392,94040
3396,182770
3400,314165
3401,95552
3403,290540
3404,91395
3409,137597
3410,159720
3411,176810
3414,269301
3415,54887
3418,96634
3426,131745
3429,225329
3430,313033
3432,84390
3435,136916
3437,71886
3438,64167
3440,29686
3441,274017
3445,38204
3446,129676
3449,233475
3452,241584
3455,118781
3456,92994
3458,160959
3459,140462
3462,318476
3464,53006
3465,31158
3466,257360
3467,270815
3470,91419
3471,14391
3472,93381
3475,362851
3476,153845
3477,7624
3479,296647
3480,227684
3481,352455
3482,57438
3483,174607
3487,287770
3488,114117
3489,274659
3492,303163
3493,145357
3494,199575
3499,174310
3501,162925
3502,37142
3507,275252
3508,267109
3509,348342
3510,64878
3512,31616
3515,206112
3516,217375
3517,264977
3518,12788
3520,120442
3521,133104
3525,159489
3526,304349
3527,243560
3529,273676
3532,359322
3534,69497
3535,97972
3536,122243
3539,338783
3541,283270
3544,369421
3546,304317
3548,265537
3549,370802
3552,261223
3556,146600
3559,358180
3560,175089
3561,52356
3563,219463
3568,331704
3570,115478
3571,66098
3572,99329
3576,51725
3577,242881
3579,246118
3582,272614
3583,30774
3584,352063
3585,304894
3586,579
3587,154801
3588,357579
3590,120499
3591,90536
3593,297704
3594,110605
3597,242880
3598,349491
3599,210730
3606,12595
3612,98627
3613,262369
3614,45804
3615,87421
3618,94657
3619,79590
3620,266281
3622,332552
3624,249548
3626,123827
3628,44386
3629,317266
3630,37047
3631,224398
3633,244025
3635,205590
3638,348840
3640,62599
3641,335755
3642,357317
3644,149993
3646,17060
3648,174078
3650,166697
3652,284913
3653,192780
3658,229246
3660,70874
3662,340181
3663,354957
3664,260857
3666,356122
3667,280533
3668,37482
3670,34199
3671,355537
3672,204983
3673,200463
3674,209172
3675,234894
3678,139449
3680,132877
3681,201250
3682,160360
3683,272809
3684,245460
3685,133880
3686,99603
3687,313775
3688,2152
3689,196361
3691,336117
3692,223616
3693,309654
3694,291322
3697,224186
3698,5463
3700,352431
3701,159668
3705,55004
3706,150477
3710,63141
3712,110849
3714,21336
3715,198915
3716,269134
3720,197816
3721,361001
3725,132288
3728,167429
3730,257133
3732,276103
3733,248623
3735,319793
3737,306453
3738,12674
3739,391
3741,370146
3742,177227
3749,321436
3750,163147
3751,133522
3752,279724
3753,106922
3754,120380
3755,126556
3756,164516
3763,38366
3768,100693
3769,115780
3773,113428
3774,86161
3776,216320
3779,51378
3780,126937
3781,18213
3782,263454
3783,123402
3786,92074
3788,3898
3789,202216
3790,30083
3791,262112
3795,95845
3799,123515
3800,318209
3801,245804
3802,161285
3806,130095
3807,181205
3809,68210
3811,286990
3812,25237
3813,221543
3814,71615
3820,337897
3826,198800
3827,62038
3829,146187
3830,87526
3834,337523
3835,325252
3836,259015
3839,47274
3841,270516
3842,304061
3843,239240
3844,274001
3846,125225
3848,321208
3849,17731
3854,239067
3856,196670
3858,24128
3859,191942
3860,221406
3861,260864
3862,230263
3864,150564
3865,129797
3867,158586
3868,175368
3869,60989
3873,8191
3875,233965
3878,246705
3881,181523
3882,133261
3884,146801
3885,275676
3887,365320
3888,137264
3891,352158
3893,356263
3894,300088
3895,282896
3897,309339
3899,87946
3901,89889
3902,147681
3904,147486
3905,77468
3906,192606
3907,211218
3910,219350
3911,7091
3912,15094
3914,369057
3916,102490
3917,257198
3918,25113
3919,238643
3921,196433
3922,316134
3924,288376
3925,114617
3926,372021
3927,193103
3928,176357
3930,270853
3931,340650
3932,98618
3935,191199
3936,304965
3937,269539
3938,255165
3942,243417
3944,32942
3945,160923
3947,129804
3948,261049
3951,301792
3953,41306
3956,120265
3957,141218
3958,157883
3960,124191
3962,180277
3965,203635
3967,180738
3971,297862
3976,10954
3977,248426
3980,289024
3981,162730
3983,106618
3984,149357
3985,342901
3986,27982
3987,72191
3989,343026
3990,39113
3992,235576
3993,147242
3996,372047
3997,199470
4002,364267
4004,329384
4009,98384
4010,348911
4014,248474
4015,50307
4017,124683
4018,182034
4019,1235
4021,195606
4022,244784
4023,338391
4024,264751
4027,215729
4030,347858
4032,67688
4037,329128
4038,18337
4040,216627
4041,317467
4044,129221
4051,110549
4054,332155
4056,341334
4060,305786
4061,110813
4062,306073
4063,368168
4065,266298
4067,192029
4068,14559
4069,110776
4070,25100
4073,87129
4074,71055
4077,353436
4078,323786
4079,352816
4082,17255
4084,291140
4085,244338
4086,124112
4088,360837
4089,280232
4090,53358
4091,181932
4092,94929
4093,138943
4094,237408
4095,354249
4097,245227
4098,236822
4099,22867
4101,32907
4103,139686
4107,30942
4108,192855
4111,125274
4112,70973
4114,26654
4116,215889
4118,344758
4121,64780
4122,324486
4123,276849
4124,333694
4131,219998
4132,317244
4136,310887
4138,91371
4141,95086
4142,40519
4144,278794
4146,143622
4148,167769
4153,362293
4155,167591
4157,116102
4159,108729
4160,235012
4161,152317
4162,128349
4164,365301
4165,99380
4166,212385
4170,4605
4173,313823
4174,257800
4175,28756
4178,315425
4181,327466
4182,71751
4184,66338
4187,218691
4188,230820
4190,228571
4191,34043
4196,92140
4198,304180
4200,199408
4202,173468
4206,271020
4208,189241
4209,256008
4211,22764
4212,208243
4214,155064
4217,299716
4218,245636
4220,246733
4221,71726
4222,96840
4224,16401
4227,351958
4229,52182
4230,275406
4231,353122
4235,323661
4236,339662
4237,287841
4239,98806
4240,36541
4242,343337
4243,183838
4244,261081
4250,225206
4252,93481
4253,220467
4255,61617
4261,127875
4262,193704
4263,334214
4264,366299
4267,106145
4271,248082
4273,250476
4278,38478
4279,330306
4281,1074
4282,144279
4287,357297
4288,45477
4289,44501
4290,123443
4292,138313
4294,266964
4295,25215
4296,105610
4297,359210
4298,40830
4299,71111
4302,346922
4303,324174
4306,13894
4307,303465
4308,141232
4310,87977
4311,240581
4312,370266
4315,56319
4318,255853
4321,9583
4322,357021
4323,159437
4325,201923
4326,261432
4327,140532
4328,370442
4329,65728
4330,279732
4331,124279
4333,2465
4336,328601
4340,368020
4342,62834
4343,209766
4344,265393
4345,306637
4346,347199
4350,124125
4351,57825
4354,259946
4355,91028
4356,103292
4357,335608
4358,298733
4359,346876
4361,250348
4363,58555
4365,258508
4366,7852
4367,218423
4369,301433
4371,349074
4373,91642
4375,208873
4376,250278
4377,282425
4381,279729
4382,199573
4388,266297
4389,230192
4391,238269
4396,6385
4397,70016
4399,346235
4402,366579
4403,87624
4404,25004
4405,133775
4406,253945
4409,48189
4413,2513
4414,128863
4416,85879
4417,347034
4418,337216
4421,131950
4424,357724
4425,350863
4428,252992
4429,168868
4430,267040
4431,269224
4433,290649
4435,317780
4437,54801
4438,276382
4439,154510
4440,254509
4441,86592
4443,86011
4446,165037
4447,150321
4449,35375
4452,58870
4454,6684
4455,50218
4456,52037
4457,74406
4458,296201
4461,299191
4464,152575
4469,258132
4473,165501
4474,201361
4475,71527
4477,144691
4478,225549
4479,266620
4480,308765
4482,251374
4483,255289
4484,318756
4485,332508
4487,112660
4488,227986
4489,50381
4492,27011
4493,89917
4496,320714
4497,116849
4498,168130
4499,301143
4500,296537
4501,42938
4502,369222
4504,199292
4505,190479
4506,241482
4507,71473
4510,310208
4511,169511
4514,252768
4517,112819
4518,141453
4521,360953
4522,130858
4523,312610
4524,296905
4525,123939
4526,55887
4528,145898
4529,121548
4530,272518
4533,199181
4536,300531
4538,80801
4539,140453
4540,157221
4541,14885
4542,187475
4543,79928
4545,156661
4546,236120
4547,245765
4548,362344
4552,19115
4553,142278
4556,226090
4558,303128
4559,268823
4560,93934
4563,19763
4568,15676
4569,304051
4571,14403
4572,323017
4574,282067
4575,72822
4577,139084
4578,328673
4579,162118
4580,41574
4582,168866
4584,199351
4585,252682
4586,160908
4589,331110
4591,154104
4592,147657
4593,157879
4594,78123
4596,205898
4598,299520
4599,142254
4602,155580
4604,209438
