,user,enrolled,predicted_results
162,226424,1,1
163,284347,0,1
164,60709,1,1
165,289768,1,1
166,129848,0,0
167,314609,0,0
168,203662,0,0
169,343638,0,1
170,136289,0,0
171,172638,1,1
172,331846,0,0
173,202833,0,0
174,91928,0,0
175,309888,1,0
176,214028,1,1
177,273853,1,1
178,22623,1,1
179,182143,1,1
180,192507,1,1
181,103559,0,0
182,69101,0,0
183,244645,0,0
184,155294,1,0
185,197172,0,1
186,369754,1,1
187,87516,0,0
188,286142,1,1
189,137406,0,0
190,268521,1,1
191,69366,1,1
192,69475,0,0
193,279662,0,0
194,194543,1,1
195,210676,0,0
196,65450,1,0
197,71722,1,1
198,55396,0,0
199,8141,1,0
200,68998,0,0
201,170930,0,0
202,250345,0,0
203,360545,1,1
204,182649,0,1
205,286005,0,0
206,17393,0,1
207,116602,1,1
208,171418,1,1
209,38537,0,0
210,29732,0,0
211,215094,0,0
212,133811,0,0
213,113805,1,1
214,152338,0,1
215,246537,1,1
216,153384,1,0
217,177531,0,1
218,330488,0,1
219,114889,0,0
220,75449,1,1
221,161171,1,1
222,122029,0,0
223,210459,0,1
224,208123,1,1
225,13913,0,0
226,38917,1,1
227,105478,0,0
228,17218,1,1
229,218090,0,0
230,243159,0,0
231,55305,0,0
232,187638,1,1
233,22034,0,1
234,319412,0,0
235,18491,1,0
236,178916,1,1
237,224419,0,0
238,307259,1,0
239,193102,0,0
240,254672,1,0
241,164710,1,1
242,33472,0,0
243,358924,1,1
244,353513,0,0
245,266239,0,0
246,108968,1,1
247,62319,0,0
248,163562,1,1
249,266744,0,1
250,86066,1,1
251,230277,1,1
252,154656,0,0
253,84490,0,0
254,93761,1,1
255,293826,1,1
256,179873,1,1
257,347012,1,1
258,268979,1,1
259,118007,0,0
260,59747,1,0
261,210614,0,1
262,189889,0,0
263,177874,1,1
264,145180,0,1
265,22041,1,0
266,135402,1,1
267,79557,0,1
268,104624,0,0
269,285084,1,1
270,41561,0,0
271,167410,0,0
272,148586,1,1
273,38548,1,1
274,25726,1,1
275,79140,1,1
276,219482,0,0
277,269866,0,0
278,211867,1,0
279,218362,1,1
280,21862,0,0
281,320004,0,0
282,129238,0,1
283,329378,0,0
284,73327,0,0
285,96024,1,1
286,273112,0,0
287,10483,0,0
288,76442,1,1
289,326177,1,1
290,276555,1,1
291,48684,1,1
292,244633,1,1
293,59947,0,0
294,10954,0,0
295,230842,0,0
296,205748,0,0
297,357368,0,0
298,77366,1,1
299,119243,1,0
300,149024,0,0
301,137576,0,1
302,176927,1,1
303,337562,1,1
304,12933,1,0
305,346885,0,0
306,83447,1,1
307,111629,1,1
308,364142,0,0
309,78735,1,1
310,205818,1,1
311,326888,0,1
312,248408,0,0
313,295338,0,1
314,81307,1,1
315,137979,1,1
316,122957,1,0
317,277563,1,1
318,276433,1,1
319,89291,0,0
320,146003,1,0
321,3981,0,1
322,48799,0,0
323,331792,0,0
324,252333,0,1
325,312567,0,0
326,352700,1,0
327,303883,1,1
328,145659,1,1
329,14463,0,0
330,152084,1,0
331,276229,1,1
332,134589,1,1
333,42662,0,0
334,72195,0,1
335,53281,0,0
336,256618,1,1
337,325699,1,0
338,124950,1,1
339,103492,0,0
340,122701,1,1
341,52927,0,0
342,8296,0,0
343,322949,0,0
344,228919,1,1
345,229511,1,1
346,173760,0,0
347,51549,1,1
348,98546,0,0
349,220356,1,0
350,212657,0,1
351,26654,0,0
352,329929,1,1
353,297006,0,0
354,337708,1,1
355,242356,1,1
356,210467,1,0
357,169269,0,0
358,317001,0,0
359,86932,0,1
360,343421,1,0
361,113507,1,1
362,242874,1,1
363,336473,0,0
364,220341,0,0
365,59312,1,1
366,346155,1,1
367,6552,0,0
368,19837,0,0
369,182770,0,0
370,368708,1,1
371,1087,1,1
372,268062,1,0
373,58050,1,1
374,9103,1,1
375,296413,0,1
376,54512,1,0
377,282450,0,0
378,198709,0,1
379,213391,1,1
380,274722,1,0
381,159437,0,0
382,97797,1,1
383,334367,1,1
384,198140,1,1
385,192445,0,0
386,2856,0,0
387,102874,0,0
388,250726,1,0
389,154048,0,0
390,213483,0,0
391,525,0,0
392,134299,1,1
393,329327,0,1
394,139517,0,0
395,85881,0,0
396,43003,0,0
397,267624,1,0
398,4909,1,1
399,197814,0,1
400,226473,1,1
401,96393,1,1
402,73403,0,0
403,234848,0,1
404,158711,0,0
405,347861,1,0
406,323241,1,1
407,25366,1,1
408,111971,1,1
409,124286,0,1
410,46520,1,1
411,41442,0,1
412,67580,0,0
413,327397,0,0
414,31150,1,1
415,193358,1,1
416,256057,0,0
417,206491,1,1
418,306378,1,1
419,81449,1,1
420,21008,1,1
421,371495,0,0
422,170050,0,0
423,66701,0,0
424,36940,1,1
425,354641,0,0
426,14127,0,1
427,234299,1,1
428,300331,0,0
429,251366,1,1
430,207920,0,0
431,365764,0,0
432,288825,0,0
433,82754,0,1
434,154405,0,1
435,106922,0,0
436,353492,1,1
437,194955,1,1
438,26929,1,1
439,180027,0,0
440,147351,1,0
441,192991,0,0
442,183635,0,0
443,234984,0,1
444,196076,0,0
445,114577,0,0
446,354135,1,1
447,350141,1,1
448,304140,0,0
449,6131,1,0
450,355852,1,1
451,111481,0,1
452,65404,1,0
453,99639,0,1
454,3529,0,0
455,329880,0,0
456,2771,1,1
457,194849,1,1
458,213622,1,1
459,359595,0,0
460,89776,0,0
461,239369,0,1
462,304868,1,1
463,153006,1,1
464,276217,0,0
465,51913,0,1
466,268671,1,1
467,297085,1,1
468,30788,0,0
469,199851,1,1
470,197403,1,1
471,154427,1,1
472,129191,0,0
473,53469,1,1
474,304400,1,1
475,298991,1,0
476,198430,0,0
477,341087,0,0
478,15656,0,1
479,243166,0,0
480,101798,1,1
481,117573,1,0
482,198318,1,0
483,294299,0,1
484,249859,1,1
485,19664,1,1
486,232328,0,0
487,300883,0,0
488,123786,1,0
489,138712,1,1
490,120454,0,0
491,150564,1,0
492,90387,1,1
493,223245,0,1
494,98103,1,0
495,172902,1,1
496,41686,0,0
497,164285,1,1
498,226417,1,1
499,49381,0,0
500,248746,1,0
501,268224,1,1
502,173928,0,0
503,350622,0,0
504,184823,1,1
505,320714,0,0
506,328496,0,0
507,238098,1,0
508,14494,0,0
509,17090,1,1
510,220668,1,1
511,260099,0,0
512,211367,1,1
513,261468,1,1
514,190327,0,0
515,47678,1,1
516,119280,0,0
517,118401,1,1
518,119316,1,1
519,20017,1,1
520,140040,1,0
521,303342,1,1
522,311417,1,1
523,41901,1,1
524,120027,1,0
525,165276,0,0
526,26464,0,0
527,125052,1,0
528,179803,0,0
529,359438,0,0
530,205167,0,0
531,11670,1,1
532,971,1,1
533,349514,0,0
534,173571,0,0
535,203963,0,0
536,273253,1,1
537,71572,0,0
538,210132,0,0
539,217394,0,0
540,129457,0,0
541,92788,1,0
542,239055,0,1
543,333283,1,1
544,371372,1,1
545,225292,0,0
546,373141,0,0
547,230282,0,0
548,228503,0,0
549,112908,1,1
550,42520,0,0
551,253276,0,0
552,205440,0,0
553,145010,0,0
554,213194,1,1
555,357936,1,1
556,358277,1,0
557,248953,1,1
558,124098,1,1
559,316190,1,0
560,34170,1,1
561,123037,1,1
562,352550,1,1
563,292063,1,1
564,276355,1,1
565,24435,0,0
566,371262,1,1
567,74965,1,1
568,58604,1,0
569,204796,1,1
570,177770,0,1
571,17453,1,1
572,156208,1,1
573,294509,1,1
574,373501,1,1
575,128741,0,0
576,172648,0,0
577,129555,0,1
578,39458,0,1
579,240538,1,1
580,367282,1,1
581,55400,0,0
582,36723,1,1
583,34861,0,0
584,369588,0,0
585,106500,0,0
586,337694,1,0
587,228463,1,0
588,150415,0,0
589,240667,1,1
590,212477,0,0
591,25268,1,1
592,138550,0,0
593,222822,1,1
594,235069,1,1
595,33387,1,1
596,21104,1,1
597,39955,1,1
598,33072,1,0
599,324737,1,0
600,168318,1,1
601,231316,0,0
602,288331,1,0
603,49708,1,1
604,85,0,0
605,305414,0,0
606,292850,0,1
607,1729,0,1
608,360006,1,1
609,95412,1,0
610,152207,0,1
611,262216,0,0
612,288461,1,1
613,216976,1,1
614,272731,1,1
615,69154,1,1
616,135828,1,1
617,71473,0,1
618,194898,0,1
619,340470,1,1
620,50698,1,1
621,348800,0,0
622,258836,1,0
623,149510,1,0
624,12210,1,1
625,315063,1,1
626,20530,1,1
627,19365,0,0
628,8857,1,1
629,113464,1,1
630,280177,1,1
631,183537,0,0
632,13041,0,0
633,302540,1,1
634,213521,0,1
635,217313,1,1
636,61994,0,0
637,205486,0,1
638,45251,1,1
639,43362,1,1
640,45909,1,1
641,288217,0,0
642,339677,1,1
643,168725,0,0
644,63444,1,1
645,306418,1,0
646,147401,1,0
647,322056,1,1
648,260600,0,1
649,367145,0,0
650,62427,0,1
651,47380,0,1
652,197305,1,0
653,279722,0,0
654,74300,0,0
655,234017,0,1
656,5439,0,0
657,49261,1,1
658,265953,0,0
659,119125,1,0
660,212964,0,0
661,249027,0,0
662,204360,1,1
663,136865,1,1
664,266212,1,1
665,196968,0,0
666,85886,1,0
667,152112,1,1
668,299652,1,1
669,158571,1,1
670,320066,1,1
671,117910,1,0
672,336451,1,1
673,322369,0,0
674,335869,0,1
675,114511,0,0
676,148325,0,0
677,103284,0,1
678,149382,1,1
679,275599,1,1
680,351520,0,0
681,289132,1,1
682,325440,1,1
683,110860,1,0
684,276857,1,0
685,64232,0,0
686,370157,0,0
687,78850,1,1
688,63860,0,1
689,351973,1,1
690,341752,1,1
691,193233,1,1
692,192354,1,1
693,202139,0,0
694,220587,0,0
695,67506,1,1
696,360933,1,1
697,11203,0,1
698,281445,1,0
699,16897,0,1
700,220946,0,0
701,333455,1,0
702,285273,0,0
703,288636,1,1
704,177269,0,1
705,201232,0,0
706,145204,1,1
707,330749,1,1
708,121824,0,0
709,249245,0,1
710,220577,1,1
711,262112,1,1
712,311940,0,0
713,32892,1,0
714,164225,0,0
715,192855,0,1
716,241442,1,1
717,357890,1,1
718,168167,0,0
719,25113,0,0
720,90827,1,1
721,64487,1,1
722,296090,1,1
723,108820,1,1
724,35074,1,1
725,95039,0,0
726,76684,0,0
727,97243,0,0
728,217487,1,1
729,154889,1,0
730,196263,0,1
731,268956,0,1
732,326187,0,1
733,107609,1,1
734,201951,1,1
735,334531,0,0
736,290008,1,0
737,151203,1,1
738,143943,0,0
739,223806,1,1
740,341872,0,0
741,28014,1,1
742,103060,0,0
743,50350,0,0
744,26371,1,1
745,209184,1,1
746,334405,0,0
747,130401,1,1
748,260693,0,0
749,257149,1,1
750,342079,1,1
751,334350,1,1
752,361822,1,1
753,234549,0,1
754,206077,1,1
755,58743,0,1
756,263709,0,0
757,372110,1,0
758,95368,0,0
759,134188,1,1
760,300814,1,1
761,91649,1,1
762,134832,1,1
763,64928,1,0
764,222438,1,0
765,134567,1,1
766,251383,0,1
767,271383,1,1
768,353923,1,0
769,101384,1,1
770,294736,0,0
771,219444,0,0
772,321518,0,1
773,167027,0,0
774,247511,0,0
775,123939,0,0
776,106787,1,0
777,90369,0,0
778,91597,1,0
779,350850,1,1
780,16219,0,1
781,104768,0,0
782,70451,0,0
783,283297,1,1
784,90136,0,0
785,138936,1,0
786,184572,1,1
787,191801,0,0
788,366805,1,0
789,372817,1,1
790,322785,1,1
791,52727,0,1
792,64006,0,0
793,185924,0,0
794,7159,0,0
795,187358,0,0
796,147740,0,0
797,240483,1,1
798,67050,0,0
799,362821,0,1
800,162433,1,1
801,339664,0,1
802,323589,1,1
803,98742,0,0
804,296063,1,1
805,277422,1,1
806,243966,1,1
807,140901,0,1
808,204958,1,1
809,129336,0,0
810,237719,1,1
811,328220,1,0
812,329705,1,1
813,293916,1,1
814,167677,0,1
815,3707,1,1
816,268711,0,0
817,57448,1,1
818,50570,1,1
819,329114,0,0
820,350389,0,1
821,165359,0,0
822,114200,1,1
823,209759,1,0
824,16660,1,1
825,349698,0,0
826,189019,1,0
827,128696,1,0
828,235158,1,1
829,207245,1,1
830,250971,0,0
831,172383,1,1
832,117886,1,0
833,371339,1,1
834,343394,1,1
835,67707,0,1
836,300199,0,1
837,84656,1,0
838,93160,1,1
839,333337,0,1
840,45261,0,0
841,284892,1,1
842,336287,1,1
843,122471,1,1
844,366981,0,0
845,27766,1,1
846,61050,0,0
847,271634,1,1
848,261624,0,0
849,330592,1,0
850,214558,0,0
851,341064,0,1
852,200025,1,0
853,306524,0,0
854,248017,1,0
855,253242,0,0
856,208869,1,1
857,185157,0,0
858,290038,0,0
859,68850,0,0
860,222239,0,0
861,235413,1,1
862,290691,0,0
863,249452,0,1
864,36246,1,0
865,318938,1,1
866,173300,0,0
867,244554,1,0
868,2954,0,0
869,299807,1,1
870,345238,0,0
871,286504,0,0
872,98344,0,0
873,177825,1,0
874,22147,1,1
875,271580,1,1
876,211489,1,1
877,267097,1,1
878,210151,1,1
879,298215,1,0
880,170427,1,1
881,34088,1,1
882,211545,0,0
883,179499,0,0
884,98381,0,0
885,224523,0,0
886,20483,0,1
887,142697,1,0
888,301995,0,0
889,272883,0,1
890,289855,0,1
891,246742,1,0
892,196276,0,0
893,170227,0,1
894,185809,0,0
895,11872,1,0
896,268780,0,0
897,25237,0,0
898,371314,0,0
899,274066,0,0
900,83192,1,1
901,42572,0,1
902,44227,1,1
903,232618,1,1
904,31846,1,1
905,185900,1,0
906,182434,1,1
907,162091,0,1
908,184897,0,1
909,65808,1,1
910,164004,0,0
911,97901,0,0
912,260864,1,0
913,152360,0,0
914,360253,0,0
915,89200,0,0
916,189788,0,0
917,252809,0,0
918,256212,1,1
919,124882,0,0
920,82041,0,0
921,124347,0,0
922,149622,0,0
923,356548,1,1
924,216970,1,1
925,120639,1,1
926,30942,0,0
927,63935,1,1
928,159167,0,0
929,323597,0,0
930,341124,1,0
931,33066,0,1
932,346513,1,1
933,293783,0,0
934,344839,0,1
935,97757,0,0
936,146033,1,1
937,152523,0,0
938,309503,0,0
939,341473,0,0
940,298909,0,1
941,372650,1,1
942,306995,0,1
943,121085,0,0
944,45822,0,0
945,106103,0,1
946,104419,1,1
947,124052,0,0
948,56065,0,0
949,28756,0,0
950,245530,0,0
951,314838,1,1
952,190808,0,0
953,79232,0,0
954,85611,1,0
955,316402,0,1
956,265577,0,0
957,35860,0,0
958,60624,1,1
959,9278,1,1
960,17189,0,0
961,111407,1,1
962,228455,0,0
963,210139,1,1
964,182121,1,1
965,222569,1,1
966,185108,1,1
967,52526,1,0
968,337307,0,1
969,27233,0,0
970,88709,1,1
971,187601,1,1
972,253396,0,0
973,309875,0,0
974,206715,1,1
975,104872,0,0
976,174633,0,0
977,257569,0,1
978,43269,0,0
979,208724,1,1
980,350485,0,0
981,264589,0,0
982,9673,0,1
983,286890,0,0
984,114549,1,1
985,65965,0,0
986,332216,0,0
987,351906,1,1
988,245768,0,1
989,226430,0,0
990,267119,0,0
991,30738,1,1
992,67689,1,1
993,92058,1,1
994,245871,1,1
995,42818,1,0
996,302968,0,1
997,264929,0,1
998,301816,0,0
999,363306,0,0
1000,336781,1,1
1001,224493,0,0
1002,263039,1,0
1003,293910,0,1
1004,171270,0,1
1005,358450,1,1
1006,19385,0,1
1007,196939,0,0
1008,181073,0,0
1009,261228,0,0
1010,46630,1,0
1011,343915,1,1
1012,100054,0,0
1013,201332,1,1
1014,351123,0,0
1015,307928,0,0
1016,87517,0,1
1017,269284,1,1
1018,62577,0,0
1019,17260,1,1
1020,335127,0,0
1021,192759,0,0
1022,117624,0,0
1023,27501,0,0
1024,200500,0,0
1025,112882,1,1
1026,285270,1,1
1027,300854,1,1
1028,176415,1,0
1029,328509,1,1
1030,187453,0,0
1031,206704,0,0
1032,14902,1,1
1033,149834,0,0
1034,302707,0,1
1035,48165,0,1
1036,320338,1,1
1037,137475,0,1
1038,365244,1,1
1039,126916,0,0
1040,199393,0,0
1041,77667,1,1
1042,10079,1,0
1043,62745,1,1
1044,49999,1,1
1045,71928,1,0
1046,56115,0,0
1047,18566,0,0
1048,211226,0,0
1049,286404,1,1
1050,241789,1,1
1051,50277,0,0
1052,316705,1,0
1053,159074,0,0
1054,148230,0,0
1055,111846,1,1
1056,60317,1,1
1057,285913,0,0
1058,31482,1,1
1059,210075,0,1
1060,179246,0,1
1061,125034,1,1
1062,358493,1,0
1063,32964,1,1
1064,220983,0,0
1065,104519,1,1
1066,213119,1,1
1067,2182,0,1
1068,257039,0,0
1069,23321,0,0
1070,106823,0,0
1071,327749,0,0
1072,13362,1,1
1073,19417,1,1
1074,58530,0,0
1075,65951,0,0
1076,352664,0,0
1077,53871,1,1
1078,239499,0,1
1079,34532,1,0
1080,44756,0,1
1081,280425,1,1
1082,132917,1,0
1083,201846,0,1
1084,37602,0,0
1085,328438,1,1
1086,111620,0,0
1087,264983,1,1
1088,116622,1,1
1089,357362,1,0
1090,295368,0,1
1091,19763,0,1
1092,150240,1,0
1093,212561,1,1
1094,139286,0,0
1095,243025,1,1
1096,173977,0,0
1097,190923,1,1
1098,242617,1,1
1099,297687,1,0
1100,190294,0,0
1101,322743,1,0
1102,17158,0,0
1103,182887,1,1
1104,265735,0,0
1105,70957,1,1
1106,366519,0,0
1107,248271,0,0
1108,97201,0,0
1109,89746,0,0
1110,274920,1,0
1111,210617,0,0
1112,63973,1,1
1113,62892,1,1
1114,62464,1,1
1115,339412,0,0
1116,232152,0,0
1117,121641,1,1
1118,372347,1,1
1119,346215,1,1
1120,82974,0,0
1121,284668,1,1
1122,72557,0,0
1123,337766,1,1
1124,214947,1,1
1125,68418,1,1
1126,1235,0,0
1127,345116,0,0
1128,307934,1,0
1129,369606,1,1
1130,78233,1,0
1131,3680,1,1
1132,225715,0,0
1133,99661,0,1
1134,163558,1,0
1135,199203,1,1
1136,72952,0,0
1137,280890,1,1
1138,37996,1,1
1139,289937,1,1
1140,364461,1,1
1141,186621,1,1
1142,294084,0,0
1143,67944,0,0
1144,24662,0,1
1145,189683,0,0
1146,243202,1,0
1147,56933,0,0
1148,329993,0,0
1149,13716,0,1
1150,29627,0,0
1151,312677,1,1
1152,31801,0,1
1153,88719,1,0
1154,340264,0,0
1155,312634,0,1
1156,163719,1,0
1157,321863,0,0
1158,196241,1,1
1159,132877,0,0
1160,107605,1,1
1161,1433,1,1
1162,333894,0,1
1163,198895,1,1
1164,342782,0,1
1165,226450,1,0
1166,357814,1,0
1167,17110,1,0
1168,2309,1,1
1169,215162,1,1
1170,214143,1,1
1171,3507,0,0
1172,141781,1,1
1173,110042,1,1
1174,121774,0,0
1175,320390,0,1
1176,250476,0,0
1177,318756,0,0
1178,330178,1,1
1179,44501,0,0
1180,212168,1,1
1181,247401,0,1
1182,299590,0,0
1183,248178,0,0
1184,138753,0,0
1185,14595,1,1
1186,230555,1,0
1187,206622,1,0
1188,220189,0,0
1189,9428,1,1
1190,316107,1,1
1191,91284,0,0
1192,23614,1,0
1193,288419,1,1
1194,131845,0,0
1195,22342,0,1
1196,100603,0,0
1197,136450,1,0
1198,270191,1,1
1199,17564,1,1
1200,306287,0,0
1201,308413,0,0
1202,153981,0,1
1203,313476,0,0
1204,21885,0,0
1205,195215,1,1
1206,296895,0,1
1207,255377,1,0
1208,66171,1,0
1209,314203,0,0
1210,230135,1,1
1211,359269,0,0
1212,81912,1,1
1213,91627,0,1
1214,122257,0,0
1215,327354,0,1
1216,26613,0,0
1217,236722,1,1
1218,95967,1,1
1219,234454,1,0
1220,172370,0,0
1221,353337,0,1
1222,218875,1,1
1223,348447,1,1
1224,285060,1,1
1225,247966,0,1
1226,48850,1,1
1227,178266,0,0
1228,311162,0,0
1229,173665,1,1
1230,26140,0,1
1231,190403,1,0
1232,176233,0,0
1233,1085,1,0
1234,51368,1,1
1235,291375,0,0
1236,55540,1,0
1237,152170,0,1
1238,301242,0,0
1239,16647,0,1
1240,137647,1,1
1241,294913,0,1
1242,235430,1,1
1243,356551,1,0
1244,360070,0,1
1245,333990,1,0
1246,365488,1,1
1247,49023,1,0
1248,306587,1,0
1249,75861,0,0
1250,192396,1,0
1251,187779,1,1
1252,72846,1,1
1253,98429,0,0
1254,187612,0,1
1255,70041,1,1
1256,119727,1,1
1257,143658,1,1
1258,329816,0,0
1259,73358,1,1
1260,210800,1,1
1261,157171,0,0
1262,59389,1,0
1263,327203,0,0
1264,307019,1,1
1265,372878,1,1
1266,210512,0,0
1267,282208,0,0
1268,56132,0,0
1269,128910,1,1
1270,21712,1,0
1271,333931,0,1
1272,338783,0,0
1273,268503,0,0
1274,358830,1,1
1275,220024,0,1
1276,116523,0,0
1277,3804,0,0
1278,238951,1,1
1279,317818,1,1
1280,194049,0,0
1281,67719,1,1
1282,368392,0,0
1283,109039,1,1
1284,26747,1,1
1285,165970,0,0
1286,158581,0,1
1287,178662,1,1
1288,298747,0,0
1289,208566,0,0
1290,334022,0,0
1291,214767,0,1
1292,186090,1,1
1293,322365,1,1
1294,329034,0,0
1295,294216,1,0
1296,133230,0,0
1297,309739,1,1
1298,103194,0,0
1299,328114,0,0
1300,189702,0,0
1301,274424,0,0
1302,1002,0,0
1303,200953,0,0
1304,79016,1,1
1305,337252,1,1
1306,239094,1,1
1307,163437,1,1
1308,286239,1,1
1309,292311,1,1
1310,307439,1,0
1311,154175,1,1
1312,186948,0,0
1313,140246,0,0
1314,316187,1,1
1315,28348,1,0
1316,217029,1,0
1317,159048,1,1
1318,160055,0,0
1319,131467,0,0
1320,285518,0,0
1321,197505,1,1
1322,239705,1,1
1323,256046,0,0
1324,263075,1,1
1325,91486,0,0
1326,148930,1,1
1327,69365,1,1
1328,118957,0,0
1329,306976,1,1
1330,142958,1,1
1331,131914,1,1
1332,198873,0,0
1333,287178,0,1
1334,204350,0,0
1335,303417,1,1
1336,106494,0,0
1337,138283,0,1
1338,213036,0,0
1339,64184,1,0
1340,13175,1,0
1341,310736,1,1
1342,182636,1,1
1343,134309,1,1
1344,112414,0,1
1345,21036,1,0
1346,348923,0,0
1347,287528,0,1
1348,166655,0,0
1349,348202,0,1
1350,42112,0,1
1351,206768,0,0
1352,212260,1,0
1353,260017,0,0
1354,228159,1,0
1355,118112,1,1
1356,143858,1,1
1357,96947,1,1
1358,163104,0,0
1359,130511,0,0
1360,184895,1,1
1361,187544,0,0
1362,196436,0,0
1363,213083,1,1
1364,158223,0,0
1365,3036,1,1
1366,73645,1,1
1367,233991,1,0
1368,189817,1,1
1369,294754,0,1
1370,17316,1,0
1371,272488,1,1
1372,310718,1,0
1373,370498,0,0
1374,349427,0,0
1375,233963,1,1
1376,135000,1,1
1377,112742,1,1
1378,142391,1,1
1379,219409,0,1
1380,326027,1,1
1381,325873,1,1
1382,85740,1,0
1383,6036,1,1
1384,212169,1,1
1385,80500,0,0
1386,12115,1,0
1387,276838,1,1
1388,126662,1,0
1389,371640,0,1
1390,321501,1,1
1391,13271,0,0
1392,196365,1,1
1393,326694,0,0
1394,244601,0,1
1395,329109,0,0
1396,159215,0,1
1397,227263,1,0
1398,74538,0,0
1399,144347,0,0
1400,152469,0,0
1401,289630,0,1
1402,80637,0,0
1403,6009,1,1
1404,167358,0,0
1405,32296,0,1
1406,303073,1,1
1407,312195,1,1
1408,8048,1,1
1409,46405,0,0
1410,368527,0,0
1411,209115,1,1
1412,93884,0,1
1413,292896,1,1
1414,215314,0,0
1415,317827,1,1
1416,320911,0,1
1417,273969,0,0
1418,7914,1,1
1419,97989,1,1
1420,356466,0,0
1421,127437,1,1
1422,43507,1,1
1423,344507,1,1
1424,234978,0,0
1425,327553,0,0
1426,142081,1,0
1427,85511,0,0
1428,98962,1,1
1429,3838,1,1
1430,255460,1,1
1431,11075,0,0
1432,31489,1,0
1433,66615,1,1
1434,279611,1,0
1435,256335,1,1
1436,88717,0,0
1437,30177,0,0
1438,42552,0,0
1439,122481,0,1
1440,339973,1,0
1441,278255,1,1
1442,330356,1,1
1443,257177,1,1
1444,353760,1,0
1445,177080,1,1
1446,88165,1,1
1447,228192,1,0
1448,277345,0,0
1449,274981,1,1
1450,102108,0,0
1451,305430,0,1
1452,260152,0,0
1453,345765,0,0
1454,234168,0,1
1455,123735,1,1
1456,152320,1,1
1457,213120,1,0
1458,23475,0,1
1459,71317,0,1
1460,23284,1,1
1461,53859,1,0
1462,92126,0,0
1463,372966,1,1
1464,68132,0,0
1465,233165,0,0
1466,302547,1,1
1467,95032,1,1
1468,35821,1,1
1469,21911,0,0
1470,242685,0,0
1471,143747,0,0
1472,48646,0,0
1473,130477,0,0
1474,200308,0,0
1475,324293,1,1
1476,276186,0,0
1477,51133,1,1
1478,210796,1,1
1479,369517,0,0
1480,263432,1,1
1481,61065,1,0
1482,142288,1,1
1483,198293,1,0
1484,110888,0,0
1485,66338,0,1
1486,312374,0,0
1487,84358,1,1
1488,287553,1,1
1489,361752,1,1
1490,120091,1,0
1491,9137,0,0
1492,14845,1,1
1493,241902,0,0
1494,123817,1,0
1495,354069,1,1
1496,281728,0,0
