entry_id,age,monthly_income,years_employed,current_address_year,amount_requested,risk_score,inquiries_last_month,pay_schedule,home_owner,has_debt,personal_account_months,avg_risk_score,avg_ext_quality_score,e_signed
1364529,46,3005,3,10,700,54100,4,weekly,1,1,61,0.70314425,0.518509,0
6502470,24,1580,6,3,1100,68000,7,bi-weekly,0,1,41,0.66308637875,0.599055,0
2881357,49,1875,0,0,350,68200,5,bi-weekly,0,1,39,0.806181703,0.726708,0
6398494,49,2750,7,4,400,54950,6,weekly,0,1,86,0.801653076,0.659954,0
7048193,23,2265,2,1,400,67350,4,bi-weekly,0,1,87,0.7428874937500001,0.447938,1
3769730,47,3798,3,3,550,37050,11,bi-weekly,0,1,66,0.7599394627499999,0.787157,1
5262916,33,2000,2,0,500,38300,8,semi-monthly,0,1,38,0.7647785275,0.8320069999999999,0
7581828,44,1730,6,4,600,47550,5,weekly,0,1,37,0.74216484375,0.6031409999999999,1
5815308,33,2645,3,1,700,78550,7,weekly,1,1,38,0.8614411525,0.697655,1
2817073,62,2455,5,5,700,90150,4,bi-weekly,0,1,41,0.8729879475,0.8704339999999999,1
3344880,27,2270,2,2,1350,76050,9,bi-weekly,0,1,39,0.72587509075,0.675379,1
2958721,43,4715,2,8,2400,84650,2,semi-monthly,1,0,26,0.7917925089999999,0.7880590000000001,0
5190815,41,1760,0,5,600,41450,8,bi-weekly,0,1,42,0.595118831,0.690358,0
2291906,58,5185,3,8,900,61950,6,bi-weekly,1,1,39,0.78605613325,0.673103,0
4797409,55,3265,6,8,700,46850,6,bi-weekly,1,1,39,0.615301469,0.548545,1
8700190,41,2765,2,7,600,41850,7,weekly,1,1,18,0.80769614275,0.571946,1
8232654,64,6745,6,2,600,50250,10,monthly,1,1,55,0.7432524825,0.751827,0
9345905,46,4548,3,3,2000,72400,23,bi-weekly,0,1,50,0.7175200764999999,0.491933,1
6017637,51,1890,1,4,800,90000,6,bi-weekly,1,1,97,0.8549266985,0.81801,0
9071675,58,3125,2,0,700,70850,4,bi-weekly,0,0,109,0.84572304475,0.630398,0
5490466,19,3775,1,2,500,53650,6,bi-weekly,1,1,25,0.6703172685000001,0.4981060000000001,1
2843337,48,4635,7,9,1200,61900,7,semi-monthly,0,1,27,0.7838168884999999,0.682855,1
2718414,35,5260,2,7,700,71650,8,weekly,0,1,30,0.7486690095,0.517257,0
2154744,37,3595,2,5,1100,70600,4,weekly,0,1,98,0.81886302725,0.755791,1
3222253,24,2035,6,6,500,54100,10,weekly,0,1,119,0.8183142195,0.7315959999999999,0
5867020,46,3035,5,6,500,56550,6,weekly,0,1,39,0.652879596,0.5629839999999999,1
3618715,40,3780,6,11,800,52850,6,monthly,1,1,0,0.6992403165,0.6960140000000001,1
3738863,34,1520,6,2,450,44600,2,weekly,0,0,37,0.7702884165,0.673151,1
1164716,62,6770,3,1,700,86200,7,weekly,1,1,37,0.7397077285,0.809772,1
9056321,36,4060,1,4,2900,71800,3,weekly,0,1,88,0.7245503424999999,0.610009,1
4311351,41,1560,3,2,800,60900,4,bi-weekly,0,1,29,0.69052146875,0.6348180000000001,1
1213384,58,3860,4,4,1200,63900,11,monthly,1,1,27,0.762406585,0.5983069999999999,1
3786494,57,2620,1,10,400,52700,11,bi-weekly,1,0,49,0.6604814495000001,0.5709310000000001,0
9153892,33,6560,3,2,400,30450,12,bi-weekly,1,1,29,0.743865302,0.6061110000000001,1
4857902,19,3390,2,1,600,42550,12,monthly,0,0,37,0.56913185975,0.7064569999999999,0
2649891,42,2150,7,9,600,52150,3,semi-monthly,1,1,17,0.63448346675,0.640947,1
9217393,41,6120,2,8,900,59700,6,bi-weekly,0,1,122,0.79695348275,0.6381669999999999,0
5627791,52,3550,6,6,1100,56900,8,monthly,1,1,74,0.73504328375,0.471741,0
3192100,42,3325,3,3,800,68250,5,bi-weekly,1,1,27,0.7468411102499999,0.475807,1
9862875,41,5185,3,3,1100,47900,10,bi-weekly,0,1,99,0.78695887775,0.628785,0
1401385,25,4565,3,0,900,77050,5,bi-weekly,1,1,38,0.67038943,0.552686,0
4838692,32,2640,0,0,1000,59600,8,bi-weekly,0,1,29,0.709344955,0.7026789999999999,1
2699043,28,1520,3,2,600,84950,6,bi-weekly,0,1,39,0.64713987,0.792486,0
1510791,46,6155,0,10,600,51100,9,bi-weekly,1,1,54,0.6848185605,0.7708299999999999,1
6311037,36,2295,4,7,550,21150,9,semi-monthly,1,1,14,0.53724748125,0.454607,1
3385813,52,4515,6,2,800,67350,6,weekly,0,0,26,0.7369644502499999,0.6302770000000001,1
7004468,41,9323,5,1,500,56750,7,bi-weekly,1,1,62,0.6090778325,0.5384350000000001,0
8669237,42,4695,4,3,525,52950,2,weekly,0,1,0,0.75417641225,0.58044,1
1665640,38,6240,4,4,3600,76050,2,bi-weekly,1,0,50,0.71552398375,0.51942,1
5706018,24,1850,1,1,600,51700,8,weekly,1,0,16,0.80520912925,0.4905270000000001,1
8884442,23,3265,2,1,700,67800,6,bi-weekly,1,1,49,0.81124552375,0.6300810000000001,1
4502821,49,5050,6,6,2700,78650,2,bi-weekly,1,0,86,0.77047354,0.585442,1
2629825,34,3250,3,2,900,51100,6,bi-weekly,1,0,38,0.72365159175,0.688475,0
9839345,42,2790,7,2,650,61250,4,bi-weekly,1,1,38,0.72142034725,0.630314,1
1934688,42,5605,5,2,900,52150,4,bi-weekly,0,0,38,0.6411572032499999,0.6219939999999999,1
8258904,48,4780,0,3,700,48100,3,bi-weekly,1,1,25,0.74420961025,0.638017,0
6899559,40,2715,10,3,1200,62400,4,bi-weekly,0,1,0,0.7450493805,0.741188,1
8262054,47,4700,3,1,600,61800,4,bi-weekly,1,1,37,0.68184678125,0.700032,1
5983465,41,5195,1,7,1200,63550,5,bi-weekly,0,1,99,0.7528019985,0.6697629999999999,0
3337988,46,6000,3,1,1900,82950,5,bi-weekly,1,0,37,0.7610561957499999,0.6417029999999999,1
1656355,41,5010,6,1,3000,80700,3,semi-monthly,0,1,100,0.8026070985,0.646637,1
6494782,44,5933,2,2,1200,74050,7,semi-monthly,1,1,26,0.65171786,0.506316,1
3800876,38,2580,2,0,700,55800,6,bi-weekly,0,1,38,0.7634779362499999,0.6641140000000001,1
5208972,35,2450,4,1,500,30900,12,bi-weekly,0,1,54,0.64285651975,0.609751,1
1277624,27,2490,8,8,600,42750,20,weekly,1,1,28,0.7867352747499999,0.6008439999999999,1
5646177,47,5290,4,2,2500,69200,5,weekly,0,1,62,0.76335924175,0.71039,1
2124770,24,2050,6,1,500,61750,6,bi-weekly,0,1,54,0.70569243275,0.769201,1
3381898,50,3275,4,2,500,53150,2,bi-weekly,0,1,28,0.7294193742499999,0.663543,0
2795644,43,6230,1,1,800,50350,3,bi-weekly,1,0,38,0.6491674515000001,0.558179,0
6776905,25,2255,1,2,1300,79200,5,bi-weekly,1,1,39,0.810356787,0.7076640000000001,0
2329716,39,3285,1,1,1000,68700,5,bi-weekly,0,1,14,0.6198546032500001,0.5830270000000001,0
6378268,30,2730,2,1,700,60750,4,bi-weekly,0,0,50,0.6869519835,0.628742,1
9234410,38,3680,10,9,2700,77750,2,monthly,1,0,37,0.5011964495000001,0.549137,1
2690012,37,3266,2,2,400,65400,5,bi-weekly,0,1,17,0.77326890175,0.7289840000000001,1
6428253,34,3075,2,0,700,71500,21,monthly,0,0,26,0.6730738677499999,0.538685,1
3407920,43,8165,3,1,1300,45700,5,monthly,1,1,27,0.6367673764999999,0.5763020000000001,0
6892812,55,3670,2,2,900,42750,10,monthly,0,1,54,0.6860948625,0.749046,0
1533395,75,3095,3,3,700,53150,13,monthly,0,0,28,0.71648671075,0.679224,0
1425120,55,2055,3,1,800,70800,6,weekly,0,1,0,0.746132135,0.5931390000000001,1
2437855,50,3220,6,1,850,63550,8,weekly,0,1,55,0.81215586925,0.685353,1
9371990,45,2760,3,2,400,79450,6,monthly,0,1,62,0.6657645409999999,0.742256,0
8502509,41,3185,6,8,800,51700,7,bi-weekly,0,1,54,0.664063421,0.702959,1
8358375,53,5250,2,0,700,74800,12,bi-weekly,1,1,23,0.6483460670000001,0.646058,0
8858967,40,2735,1,10,900,61050,3,weekly,0,1,25,0.6360987585,0.529159,1
5523257,27,2595,0,6,600,50850,11,monthly,1,1,55,0.7258334495000001,0.6834770000000001,0
7793931,46,3230,2,3,400,87050,3,weekly,1,0,59,0.75892394225,0.6316189999999999,0
2186969,36,2225,1,2,550,40750,5,bi-weekly,0,1,42,0.77747526575,0.5996520000000001,1
7130906,31,1735,6,6,400,82450,4,bi-weekly,1,0,50,0.6575709970000001,0.603672,0
8005018,40,2745,2,2,400,80350,6,weekly,1,1,86,0.86921471225,0.907785,1
6978621,19,2205,0,1,900,60200,8,weekly,0,1,54,0.80967475425,0.704733,0
8739167,29,1505,2,1,1100,50250,3,monthly,1,1,30,0.66005360475,0.5097510000000001,0
8915558,56,1520,3,2,900,64350,3,weekly,0,1,55,0.7512110864999999,0.652997,1
5296882,29,2245,1,3,400,73950,5,bi-weekly,1,1,62,0.7808031974999999,0.655601,0
9260893,38,5020,6,2,400,48500,4,weekly,1,1,54,0.769598576,0.705638,0
6128590,55,4165,3,0,425,52700,6,weekly,0,1,27,0.75086503575,0.620093,1
6989789,51,3625,6,4,500,46500,6,bi-weekly,0,1,81,0.68887754525,0.5178659999999999,1
1890237,46,1775,2,2,1000,70650,10,bi-weekly,0,0,16,0.681488039,0.668644,0
8846477,41,2520,3,3,600,54400,10,semi-monthly,0,0,38,0.74204025475,0.5867420000000001,1
5032836,31,5265,5,6,700,33000,7,bi-weekly,1,0,49,0.5623207907500001,0.44511500000000004,0
2350369,46,2645,3,2,900,66850,10,bi-weekly,0,1,41,0.79900351875,0.721061,0
5770277,44,3780,2,1,700,53200,8,bi-weekly,0,1,38,0.67667832925,0.535311,1
4378557,25,4290,3,8,900,49350,10,bi-weekly,1,1,28,0.56892600475,0.427974,1
6920639,42,5140,2,2,900,75800,4,bi-weekly,1,1,42,0.7937308492499999,0.5963229999999999,1
9706797,32,1700,6,2,400,64700,6,bi-weekly,0,1,38,0.83074812775,0.917182,0
6313574,32,4595,7,3,700,55100,5,weekly,0,0,26,0.67733733625,0.61558,1
9129594,30,3100,1,2,700,51950,4,weekly,1,0,27,0.7649309802500001,0.694795,1
9663676,28,2730,1,0,700,59150,8,semi-monthly,0,1,28,0.7545343492500001,0.681974,1
9438177,44,3275,3,3,700,88550,6,bi-weekly,1,1,38,0.78366913675,0.702912,1
1928639,22,4005,3,10,400,41550,11,weekly,1,1,42,0.7032546205,0.648365,0
3005304,66,6675,6,3,400,59700,6,bi-weekly,0,1,16,0.7933391144999999,0.7313390000000001,0
6691564,39,3493,3,2,1700,48650,3,weekly,1,1,41,0.7760055395000001,0.548458,0
6307249,39,2297,3,3,1000,52800,8,bi-weekly,0,1,28,0.73332298025,0.676669,1
4939789,40,2620,0,2,1100,52650,4,weekly,0,1,38,0.789025608,0.6682029999999999,0
4488789,23,3025,1,1,1050,81800,5,weekly,0,1,54,0.762210286,0.668471,1
3231870,60,3180,0,9,1150,66450,4,bi-weekly,0,1,55,0.6142634055,0.509096,1
4891253,60,5170,2,2,1200,67200,5,bi-weekly,1,1,56,0.80084082475,0.697171,0
8546747,66,1725,2,4,1200,35050,7,weekly,1,1,45,0.8436554627499999,0.7474430000000001,0
3265474,34,2550,2,8,700,79900,4,bi-weekly,1,1,38,0.65069820975,0.45085600000000003,1
6587812,34,2015,5,5,1600,51100,11,bi-weekly,1,1,98,0.5688282375,0.569602,0
6943764,19,3115,1,0,900,61650,7,bi-weekly,0,1,38,0.60144882725,0.530691,1
1327168,45,1850,3,3,700,60600,13,bi-weekly,0,1,27,0.69393083125,0.6071,0
4867078,24,4710,10,3,450,37650,4,bi-weekly,1,1,31,0.65875835475,0.705874,1
8125443,40,3290,6,7,800,76550,8,bi-weekly,1,1,49,0.6739379875,0.633181,1
6765716,40,3975,2,4,400,44850,5,monthly,0,1,43,0.655089471,0.576376,1
5309894,30,1670,3,3,600,49800,3,semi-monthly,0,1,39,0.6474346335,0.687837,1
5700559,42,3275,3,1,500,52250,4,bi-weekly,1,1,37,0.66020018775,0.432098,1
2772888,50,6620,3,3,500,61800,14,bi-weekly,1,1,29,0.73983494325,0.756578,0
1463246,52,7180,1,0,900,46450,6,bi-weekly,1,1,39,0.7393310317499999,0.52626,1
6531677,51,2695,4,2,800,90100,5,bi-weekly,0,1,50,0.74272516175,0.7107559999999999,0
1437389,52,2510,9,10,1200,65100,8,bi-weekly,1,1,38,0.7135216485,0.664822,0
8221640,42,5080,0,9,600,62900,6,weekly,1,1,55,0.7297637910000001,0.7130879999999999,0
8072627,58,2010,3,2,600,61200,6,bi-weekly,0,1,49,0.78097169825,0.6663749999999999,1
9167945,45,5350,10,7,500,62300,4,bi-weekly,1,1,98,0.73251991775,0.7805059999999999,0
8166207,34,2125,2,3,600,53700,9,bi-weekly,1,1,12,0.7198727805,0.569448,1
6056016,66,5215,2,10,500,66900,6,bi-weekly,1,1,0,0.7224119775,0.646519,0
5229552,48,3030,6,1,600,66900,7,bi-weekly,0,1,38,0.79690461575,0.61585,1
2200507,59,3500,5,10,2100,84450,6,bi-weekly,1,1,99,0.81658248975,0.755804,0
2158204,58,3603,4,4,2400,49750,6,bi-weekly,0,1,15,0.79118686975,0.687291,1
4252472,27,3276,3,0,900,53900,6,bi-weekly,0,1,39,0.81110644425,0.811894,1
7260833,34,5642,3,2,600,43750,9,weekly,1,1,38,0.76149769525,0.739468,0
9209967,42,5997,4,1,400,71400,4,bi-weekly,1,1,37,0.76800664525,0.7707600000000001,1
6493200,43,6510,5,5,400,36400,3,bi-weekly,1,1,16,0.75023078025,0.765257,0
5034378,57,3090,5,9,600,64650,6,bi-weekly,0,1,30,0.630943326,0.5615479999999999,0
7634553,43,5125,2,2,1200,67800,6,bi-weekly,1,1,15,0.771930437,0.84536,1
9907762,49,1795,2,9,400,54000,8,bi-weekly,1,1,42,0.6883375585,0.689947,1
6419188,39,4235,6,10,1700,75900,11,semi-monthly,1,1,43,0.7622210010000001,0.687249,1
2898121,33,3890,3,3,1150,87200,4,bi-weekly,1,1,38,0.772805313,0.610753,0
5450058,32,2580,1,2,800,65900,6,bi-weekly,0,1,26,0.82018487625,0.6400350000000001,0
4296677,54,6585,3,3,600,77550,6,bi-weekly,1,1,54,0.6721181247500001,0.514053,1
3509870,36,4610,1,1,400,48900,6,monthly,0,1,26,0.7685248615,0.774146,0
1217055,50,3730,5,5,800,63300,8,semi-monthly,0,1,86,0.6459843350000001,0.621983,0
8890758,51,2690,9,9,1350,87550,4,weekly,1,1,18,0.7741572702499999,0.68035,1
7333173,32,3570,2,9,600,68800,5,weekly,1,1,26,0.696172296,0.7345079999999999,1
4358036,31,2615,4,2,550,37650,8,bi-weekly,0,1,97,0.65136049125,0.693857,1
3003105,31,2845,2,2,1400,42300,7,bi-weekly,0,1,29,0.7313527135,0.6364799999999999,0
9918925,38,4025,2,5,1200,68800,7,semi-monthly,0,1,29,0.8086021382499999,0.892625,0
3232246,53,4700,3,2,600,53850,6,weekly,0,1,28,0.78078339425,0.7016770000000001,1
6639359,69,6125,3,4,900,69600,10,monthly,0,1,27,0.80560266875,0.6413359999999999,1
7145455,51,2615,5,9,1200,77850,5,weekly,0,1,38,0.7692129285,0.570179,0
5314468,40,7060,1,4,3300,66150,9,semi-monthly,0,1,50,0.7650398432500001,0.6812,0
5059582,60,4205,1,10,5100,76050,4,weekly,1,1,99,0.7683119275,0.67771,0
7373726,38,8230,3,2,1100,48600,19,bi-weekly,0,1,50,0.7169955145,0.5453779999999999,1
8766703,21,3170,1,2,400,37400,8,bi-weekly,0,1,42,0.67851191375,0.68547,1
2867893,43,3090,3,5,500,33700,3,weekly,1,1,39,0.721477605,0.733839,1
8790471,25,1765,4,6,700,58500,5,weekly,0,1,38,0.7133301915,0.645969,0
9143159,48,4115,1,3,1200,56600,15,bi-weekly,1,1,86,0.77156247275,0.653471,1
1510487,39,5657,3,3,800,46650,14,bi-weekly,1,1,49,0.6636060695,0.510461,1
7076563,36,3570,4,2,600,82150,14,bi-weekly,1,1,25,0.7750609222500001,0.6414040000000001,1
6737150,27,905,1,0,700,46000,4,bi-weekly,0,1,39,0.766789304,0.604379,1
7076383,35,3015,2,4,700,34000,5,bi-weekly,1,1,40,0.6179110145,0.595902,0
7883052,35,3000,4,3,800,72800,6,bi-weekly,1,0,15,0.7314673340000001,0.838239,1
3403384,47,2735,2,2,800,74900,3,bi-weekly,0,1,37,0.7871756135,0.709613,1
6966205,73,3125,3,2,700,85650,3,weekly,1,0,50,0.84441509625,0.5268619999999999,0
6191229,52,3009,4,2,1200,47650,9,bi-weekly,1,0,54,0.79491073025,0.800944,1
4146169,51,3145,8,6,900,32450,14,weekly,1,1,68,0.69422787575,0.476065,0
2596261,46,3065,3,3,2700,45700,11,bi-weekly,0,1,41,0.78406381375,0.6697789999999999,1
3117436,56,7085,6,2,800,36450,4,monthly,0,1,78,0.70316055375,0.631751,0
1480841,50,3511,2,2,1100,58300,7,bi-weekly,0,0,37,0.7674743547499999,0.7355560000000001,0
2305888,24,3420,1,0,800,51500,6,monthly,0,1,29,0.70348639675,0.492011,0
6178313,54,3770,2,2,400,60000,15,bi-weekly,0,1,29,0.713377167,0.6517890000000001,0
7114507,41,2555,4,4,1200,79850,8,bi-weekly,1,1,16,0.59294320625,0.580824,1
1579189,54,5370,3,1,900,68850,10,bi-weekly,0,1,86,0.6772369485,0.6207830000000001,0
6850850,41,3240,3,0,400,74900,9,bi-weekly,1,0,49,0.856189369,0.564575,1
2414485,33,3710,4,4,400,55850,5,bi-weekly,0,1,29,0.6906791205,0.376234,0
2658749,35,2175,1,0,1200,35550,4,semi-monthly,1,1,59,0.7081650885,0.63136,0
5256194,47,2235,4,4,1000,48900,6,bi-weekly,1,1,40,0.69200542525,0.523517,0
7121524,27,1650,1,2,700,50650,6,bi-weekly,0,1,26,0.79375372325,0.7113010000000001,0
8942205,49,3675,3,3,1100,62850,6,weekly,0,1,27,0.70933463425,0.709076,1
7173341,25,2110,3,1,450,42500,3,weekly,1,1,38,0.69601548775,0.47676,1
2165757,28,1515,1,0,700,73100,6,weekly,0,1,40,0.690089086,0.6193470000000001,1
3851891,42,2455,3,1,550,35450,9,weekly,1,0,50,0.6697062257499999,0.629687,1
5164540,61,3190,12,1,500,78550,4,monthly,1,1,27,0.7279872034999999,0.615653,1
5565421,30,4240,5,7,600,77650,3,bi-weekly,0,0,54,0.7470306360000001,0.5786140000000001,1
5557139,45,3140,0,3,1100,64950,10,bi-weekly,1,0,38,0.7074651654999999,0.651449,1
9530482,47,2125,5,2,600,75150,14,bi-weekly,0,1,50,0.68171937075,0.739683,1
3527594,37,3570,3,2,500,33750,11,semi-monthly,0,1,0,0.6612610845,0.516798,0
3317660,44,2190,5,2,400,75400,3,bi-weekly,0,1,42,0.8400171064999999,0.830859,0
8249366,36,3180,0,4,1000,69300,5,semi-monthly,1,1,134,0.693619685,0.6573599999999999,1
7991945,46,6200,2,2,2100,85950,8,bi-weekly,1,1,38,0.6951683665,0.44983199999999995,1
5023921,53,3026,1,5,1200,34800,6,bi-weekly,1,0,73,0.6628043444999999,0.754758,0
8679172,48,3150,1,2,600,49000,2,semi-monthly,0,1,44,0.69419324925,0.6512739999999999,0
1128751,36,2590,2,2,400,72700,7,bi-weekly,0,1,42,0.8029431524999999,0.832796,1
4235216,45,2790,3,2,1100,65400,5,bi-weekly,1,1,37,0.7251101980000001,0.648919,1
9132267,38,9085,3,1,3300,81450,5,semi-monthly,0,1,100,0.7181217765000001,0.720915,1
8962654,38,3680,3,5,700,52250,5,weekly,1,1,74,0.63069519875,0.528814,1
4172378,29,4235,1,10,3100,89700,3,bi-weekly,0,1,42,0.63980997375,0.705694,0
2542984,47,2590,1,0,900,44300,14,weekly,1,0,49,0.7368166685,0.54808,0
6367942,56,5115,7,10,2100,94300,4,bi-weekly,1,1,38,0.640569395,0.666009,1
9323397,39,5285,4,5,400,74800,6,bi-weekly,1,1,42,0.6851829920000001,0.550462,1
4063282,25,1692,5,7,1100,78500,4,bi-weekly,0,1,97,0.6277185599999999,0.6671229999999999,1
4674730,53,3155,0,5,400,86100,3,weekly,0,1,43,0.8537346524999999,0.7693530000000001,1
4882214,57,3110,5,3,2200,48850,20,weekly,1,1,100,0.671676793,0.553261,0
3776899,31,4230,6,8,2400,53550,4,weekly,0,1,123,0.64439348175,0.551545,0
4741751,47,1695,2,3,700,51900,6,bi-weekly,1,1,28,0.7789704035,0.740052,0
4814727,30,3110,3,3,400,46500,6,bi-weekly,1,1,39,0.75126669875,0.66486,1
3827941,61,5220,3,3,2700,68250,7,semi-monthly,0,1,27,0.87180772175,0.505933,1
2089071,51,5130,5,1,1100,74150,3,bi-weekly,0,1,31,0.7156470892500001,0.6501569999999999,0
2854739,53,2145,3,2,2600,77650,4,bi-weekly,0,1,41,0.78112523125,0.650879,0
7529264,57,1670,3,1,400,58100,10,weekly,0,1,13,0.71703747025,0.40137,0
7845724,45,3195,2,1,800,79250,6,weekly,1,1,43,0.7915543645,0.549597,0
8548317,40,3740,3,2,1100,65900,5,bi-weekly,0,1,62,0.61851533825,0.56876,0
4427192,70,3185,5,6,500,41650,7,semi-monthly,0,1,27,0.8395961535,0.738386,0
2903292,36,1875,1,5,600,48250,2,bi-weekly,0,1,33,0.6099902025,0.562552,0
9379150,43,4680,1,4,800,33400,5,bi-weekly,1,0,37,0.6174859785,0.576176,0
1876676,48,2650,4,1,400,62250,5,bi-weekly,0,0,38,0.744896164,0.791728,0
4763821,42,2500,8,0,800,31400,7,bi-weekly,0,1,37,0.722467395,0.547635,0
6202768,56,4490,1,0,1100,54350,5,bi-weekly,0,1,27,0.6669396125,0.496509,0
8369857,56,3041,5,6,1100,32450,7,bi-weekly,1,0,85,0.6498198515,0.652626,0
2120242,63,4640,5,1,1100,62300,4,bi-weekly,1,1,55,0.7599901550000001,0.766246,0
9857271,29,5105,2,4,2100,82400,3,bi-weekly,0,0,26,0.81832680575,0.826211,1
6525296,22,3270,1,3,500,47650,6,bi-weekly,1,1,27,0.612449406,0.6278569999999999,1
4846559,30,4090,5,3,600,52750,6,bi-weekly,0,1,42,0.68546709125,0.64869,0
9271318,33,3165,5,3,800,76800,3,bi-weekly,0,1,55,0.6671699987499999,0.645537,1
8507223,58,3265,1,11,900,72950,6,weekly,0,1,54,0.7402978972500001,0.699033,1
2032920,51,1665,7,5,800,56450,12,bi-weekly,0,1,85,0.78547816325,0.6431199999999999,0
8270867,56,1710,0,2,550,38700,8,bi-weekly,1,0,28,0.609294739,0.5918319999999999,1
3309505,45,4205,9,9,600,31350,6,weekly,1,1,30,0.77366481175,0.752099,0
1477257,37,5196,2,3,1100,66350,4,bi-weekly,0,0,50,0.6783695504999999,0.569793,1
9943711,44,4200,3,0,600,85550,13,bi-weekly,1,0,38,0.71495026725,0.6037600000000001,0
8452744,28,3140,1,2,400,74850,2,bi-weekly,0,1,33,0.68394620225,0.47835,0
8524987,53,5075,3,9,799,65650,11,bi-weekly,1,1,54,0.64473912175,0.662199,0
5636433,27,2660,3,0,900,61950,2,weekly,0,1,29,0.7539750595000001,0.563159,1
3373460,31,4716,4,4,800,45700,6,bi-weekly,0,0,37,0.71461523475,0.748113,1
3595355,37,5150,1,2,2700,74700,6,bi-weekly,1,1,34,0.69341643375,0.65582,1
6190525,70,6575,3,2,400,38850,2,bi-weekly,1,1,17,0.71891213125,0.5877239999999999,0
9587730,40,7040,3,0,3200,53250,22,bi-weekly,0,1,28,0.80897254075,0.524664,1
7443808,36,4240,2,2,900,39950,9,weekly,0,1,20,0.63698486225,0.415128,0
4177219,50,2155,2,3,900,61400,9,weekly,0,1,42,0.6472496274999999,0.5780109999999999,0
2575818,36,3075,6,4,1600,77650,5,bi-weekly,1,1,56,0.676477291,0.542604,1
5809788,30,2600,4,3,900,39500,9,bi-weekly,0,1,49,0.70112852275,0.522894,0
2717104,43,2375,1,2,1600,39200,5,bi-weekly,0,1,27,0.5958621245,0.5214390000000001,0
6414003,42,5225,6,1,2300,51200,5,semi-monthly,1,0,25,0.7201114067500001,0.75902,0
5409482,49,3135,1,5,600,52750,3,weekly,0,1,27,0.7700998357500001,0.699014,0
3054464,39,2690,10,1,1000,52750,9,bi-weekly,1,1,86,0.5923442867500001,0.40949199999999997,1
6010393,60,1640,1,1,400,74500,5,bi-weekly,0,1,39,0.7284626997500001,0.780537,0
7859603,31,1585,3,3,600,57050,4,bi-weekly,0,0,50,0.63594157525,0.519478,1
2886166,49,3280,0,0,1050,85300,6,monthly,1,0,17,0.8002930159999999,0.578855,1
3825119,35,3860,5,4,900,71500,7,monthly,1,1,74,0.6130509854999999,0.509971,0
8959442,35,2005,1,2,400,44550,6,bi-weekly,0,1,16,0.7498341565,0.669244,0
